Ticket_ID,Incident,Short_Description,User_Name,Created_At
TKT-29C31E,Webex Access and Functionality Issues,"Technical problems affecting Webex access, authentication, audio quality, screen sharing, notification notifications and bridge number after laptop replacement.",User,2026-02-12 20:40:13
TKT-2BF806,Webex access and functionality,"User experiencing multiple Webex issues affecting demo meetings: access denied after password change, no notifications, bridge number issues after laptop replacement, cannot make/answer calls, screen sharing failures, audio quality problems, login failures on desktop and mobile.",User,2026-02-12 20:45:55
TKT-B67CFF,VPN connection failure,"User MAHESH unable to login due to VPN error ""Connection attempt has failed""",MAHESH,2026-02-12 20:55:33
TKT-210E68,VPN connection failure preventing login. Error: 'Connection attempt has failed'.,VPN connection issue preventing user access.,MAHESH,2026-02-12 20:57:12
TKT-1ED9D9,"Webex login failures with access denied errors, cannot make/answer calls","Multiple issues after laptop replacement and password change: login failures, call problems, audio/audio sync issues, screen sharing failures, notification inconsistencies, bridge number access problems. User experiencing urgent demo meetings today.",User,2026-02-12 21:03:51
TKT-B2E03F,Webex Authentication and Functionality Issues,"After laptop replacement and password change, users are experiencing login failures with access denied errors, cannot make/answer calls, audio quality issues, screen sharing failures, notification problems, bridge number access issues. Root cause identified as authentication token conflicts and policy restrictions after device change.",assistant,2026-02-12 21:04:16
TKT-B09F94,Webex App Installation Audit,"Request for assistance with downloading the Webex app, intended for auditing purposes only.",user,2026-02-12 21:09:54
TKT-714F00,Webex App Installation,User requires webex app installation for audit purposes.,user123,2026-02-12 21:10:06
TKT-60DE4B,Webex App Installation,User wants to audit the process of installing the Webex app.,user,2026-02-12 21:13:20
TKT-1E0753,Webex App Installation,User wants to install the webex app for auditing purposes.,user,2026-02-12 21:13:33
TKT-9E89C9,Webex App Installation,Requesting support to investigate a need for webex app installation.,user,2026-02-12 21:25:10
TKT-35AE0E,Webex App Installation,User is requesting webex application installation to perform audits.,user123,2026-02-12 21:25:23
TKT-2A6957,Webex app installation request,User requires assistance with installing the Webex application to audit its usage for auditing purposes.,user,2026-02-12 21:30:03
TKT-7571A9,Coordinated attack pattern involving coordinated attacks with 503 errors from IP range 203.112.45.67-71 on /api/auth endpoint and 429 errors from IP range 91.34.55.201-205 on /login endpoint.,"A coordinated attack was detected that caused a total of 755 failed authentication attempts (503 from the specified IP range) at /api/auth, and another attempt resulted in an error (429).",yoga,2026-02-12 23:34:22
TKT-D40073,System Slowness,User reports that my system is extremely slow.,user,2026-02-13 03:05:05
TKT-B94127,System hung while charging,A system malfunction is causing the device to lose connectivity during charging.,user123,2026-02-13 04:19:35
TKT-80227F,InvoiceService processing issue with cost center missing,Invoice Service is not properly processing costs. Cost center information is missing.,User,2026-02-13 16:11:24
TKT-A4AC59,Login Failure,A login attempt to the service failed with an error.,user,2026-02-13 16:12:36
TKT-B6DB94,Invoice Processing - Missing Cost Center Validation,Cost center validation issue in invoice processing workflow.,admin,2026-02-13 16:14:03
TKT-1996F0,laptop hanging,Laptop hangs when trying to open WebX application.,user,2026-02-14 16:45:46
